State,County,prop_male,prop_female,white_male,white_female,black_male,black_female,native_am_male,native_am_female,aa_male,aa_female,native_ha_male,native_ha_female,hisp_male,hisp_female
New Hampshire,Belknap County,0.4938910004404352,0.5061089995595648,0.46797057240265566,0.4804006329217167,0.00371923070649071,0.002006427091659462,0.0015496794610377958,0.0011418690765541654,0.004388039737043864,0.007014338613118444,4.8937246138035656e-5,6.524966151738088e-5,0.00931438918160612,0.00856401807415624
New Hampshire,Carroll County,0.49429564506235946,0.5057043549376405,0.4727867511756287,0.4827642608873441,0.0030464117767327746,0.0029850746268656717,0.0014312001635657329,0.001594765896544674,0.0030873032099775098,0.0042118176242077286,1.226742997342057e-4,1.226742997342057e-4,0.007708035166632591,0.008689429564506235
New Hampshire,Cheshire County,0.4903988959716107,0.5096011040283893,0.4584346454623119,0.47975290793191827,0.004508115922980877,0.003009791680357495,0.0014194650719589932,0.0012354603404087533,0.008385358480646645,0.008437931261089571,1.7086153643950844e-4,2.4972070710389696e-4,0.010080830649930999,0.009699677991719786
New Hampshire,Coos County,0.5255203877958369,0.4744796122041631,0.49605550803155596,0.4519215537179609,0.006336533282641067,0.0020593733168583466,0.0020593733168583466,0.0020593733168583466,0.0023761999809904003,0.0038336026359978457,0,6.336533282641067e-5,0.011215663910274688,0.007793935937648513
New Hampshire,Grafton County,0.49382551231559974,0.5061744876844002,0.44657677502614423,0.4575462252186102,0.005829606390316623,0.0058852324054914,0.0015241528157888882,0.0017132812673831298,0.01823420777429188,0.02013661749326925,1.4462763945442003e-4,1.3350243641946466e-4,0.01304986316000267,0.01230447455666066
New Hampshire,Hillsborough County,0.4974641808045081,0.5025358191954918,0.41382171332653916,0.423775553024399,0.013987171032911696,0.011493315748456327,9.735627360469996e-4,8.272885318625982e-4,0.021907559498831004,0.022132965649541394,1.4867214195791618e-4,1.055092620346502e-4,0.03760925603980577,0.03521371620406451
New Hampshire,Merrimack County,0.49352339306828014,0.5064766069317198,0.4538644965684882,0.46736595966735145,0.008547403742626709,0.007437694446829732,0.001228606720346652,0.001149341770646868,0.01043655171047156,0.011764239617942943,1.6513531187455e-4,1.25502837024658e-4,0.011770845030417924,0.011077276720544815
New Hampshire,Rockingham County,0.4952819681762862,0.5047180318237138,0.45559110175647016,0.46630553735202684,0.004619571358011938,0.003502610009394097,7.618580296930939e-4,7.134348498397193e-4,0.009820220874264372,0.012131620659265452,1.5818238752102372e-4,1.969209314037234e-4,0.017351639447459235,0.015308181257646826
New Hampshire,Strafford County,0.49062641139681396,0.509373588603186,0.43890134958241794,0.46329794156147375,0.007907649675043826,0.004516469804720094,0.0010640496658577848,9.721892630499185e-4,0.019015103381228325,0.018042914118178408,1.7606577204841043e-4,2.6027114128895456e-4,0.014567528878614133,0.013159002702226849
New Hampshire,Sullivan County,0.49524869049274556,0.5047513095072544,0.4673434385574561,0.47816715338617716,0.005098966300468178,0.0026190145088768367,0.001807815324711445,0.0017614610856162797,0.004218235757660038,0.0061651137996569785,6.953135864274787e-5,1.1588559773791313e-4,0.00873777406943865,0.008413294395772493
New Jersey,Atlantic County,0.48390412257746424,0.5160958774225357,0.2710016308264118,0.2885349110630713,0.06742139795957068,0.07823794895134069,9.102286949596086e-4,9.026434558349452e-4,0.037884476808131375,0.04122956726210794,1.592900216179315e-4,1.554974020555998e-4,0.09687108886107634,0.09704175674138127
New Jersey,Bergen County,0.4855878876037597,0.5144121123962403,0.2691498194597308,0.28227358448061685,0.026009384232172854,0.029199679897704573,4.226551755949891e-4,5.213462318252911e-4,0.0793551183112673,0.08768807618949541,1.1800017592753501e-4,1.0405470059064452e-4,0.10321260842607075,0.10703903231273909
New Jersey,Burlington County,0.4922027443645321,0.507797255635468,0.3261981053061756,0.33954494115850714,0.0830113012491327,0.0857462349752666,8.667359756056486e-4,8.577542556511859e-4,0.025416022041140768,0.027827613848914,2.492427287363394e-4,3.278327783378878e-4,0.0445650489840552,0.04077476316327195
New Jersey,Camden County,0.48261400948919086,0.5173859905108091,0.2710757378013746,0.28724645636176604,0.08689737418331948,0.09967599329477897,8.21369831638929e-4,8.825776796697146e-4,0.027877213107956822,0.030753981965403746,1.540068434322992e-4,1.520323967216287e-4,0.08671375063922712,0.08910283115913843
New Jersey,Cape May County,0.4874889992285879,0.5125110007714121,0.4102174078379817,0.4400417214441704,0.021838568432946903,0.018894164430295853,9.017916318082552e-4,9.235215506470083e-4,0.004063494822846837,0.005465074587946414,2.2816414780690795e-4,2.6075902606503766e-4,0.04197133823705169,0.03899433935614251
New Jersey,Cumberland County,0.5093461381556508,0.49065386184434917,0.22064911353802324,0.2338039283875153,0.10345957586255325,0.08320236479030543,0.003089742989560414,0.0032569368742768863,0.006025667605181673,0.006808134985654765,1.2037959699586028e-4,1.805693954937904e-4,0.1655553846462512,0.15257445143686424
New Jersey,Essex County,0.4813342094558653,0.5186657905441346,0.1479645796176351,0.15425513939735286,0.17829719327888857,0.20742075784599018,8.736193247598485e-4,0.0010663662817985543,0.027012109264995775,0.029870771926530867,1.5269564129040332e-4,2.2403704746706718e-4,0.11983478832253826,0.11798616978003067
New Jersey,Gloucester County,0.48638028226967867,0.5136197177303213,0.3792295875680643,0.3989219437929474,0.04924974968796719,0.05446172626150406,6.514970716921093e-4,7.235046427738688e-4,0.01421635189071308,0.0158519524338559,1.5087300607606743e-4,1.954491215076328e-4,0.033634393559094214,0.03322977958825385
New Jersey,Hudson County,0.49820268266529444,0.5017973173347056,0.1484344674452811,0.14122140242805153,0.051321329405063426,0.05545731575824186,7.436149502298514e-4,7.317171110261737e-4,0.07993563268990811,0.08047252268397406,3.093438192956182e-4,2.60265232580448e-4,0.2101381487854537,0.21666857527837224
New Jersey,Hunterdon County,0.49319375095480456,0.5068062490451954,0.4172918123999968,0.4307917440560902,0.012293862717192915,0.011280764808516456,4.181038988188565e-4,4.341848180041971e-4,0.021194651486278956,0.022432882263550183,4.5830619678220805e-4,6.995199845623175e-4,0.03512876796037662,0.034774987738299123
New Jersey,Mercer County,0.48922243692676154,0.5107775630732384,0.2336363388944833,0.248692267914977,0.09145143292599951,0.10355169692186267,7.538850937593556e-4,7.947091963095011e-4,0.057570149416215334,0.05973654845820973,2.91211931524372e-4,3.0754157254443026e-4,0.09639387094140381,0.08819639114933457
New Jersey,Middlesex County,0.4936138132649425,0.5063861867350575,0.2040173950563715,0.21316095032858137,0.04733341251930158,0.05082405928281753,7.732752205288814e-4,8.569052992381178e-4,0.12393129243620479,0.12297500066661657,1.6726015741847278e-4,1.5877594653492707e-4,0.1098596226707811,0.1108607595550395
New Jersey,Monmouth County,0.4865310805678779,0.5134689194321221,0.3646361072730064,0.3858919351319904,0.03155972494929662,0.03588102683441204,4.5734047624819207e-4,4.7996509344774927e-4,0.02634959881705573,0.028749424284294476,1.5998836448258307e-4,1.6160440856826573e-4,0.05625934275487035,0.055134576071235224
New Jersey,Morris County,0.491864306844636,0.508135693155364,0.3449237056389716,0.359631591253342,0.01609043499476461,0.01665768687289695,4.249306183858736e-4,4.798259614309386e-4,0.052294930313411744,0.05486687879311572,1.3418861633238114e-4,1.3418861633238114e-4,0.07018471266354237,0.06836910002134819
New Jersey,Ocean County,0.4830315586986525,0.5169684413013476,0.4050175728689397,0.43792511685052027,0.01500858056674561,0.015776055442648547,4.0185379768308227e-4,3.557394274571548e-4,0.008616799465073306,0.01025880043347508,1.0375733300833682e-4,1.0705121659590307e-4,0.0484250295626052,0.04679785107034747
New Jersey,Passaic County,0.48797192652433313,0.5120280734756668,0.1973831567116889,0.20607341987063246,0.045772837597095405,0.05456472960747351,6.914747342704443e-4,7.711836373563745e-4,0.02567623040655526,0.027981810428315792,1.0362157401170923e-4,1.1956335462889528e-4,0.21246208845296977,0.21662887136178677
New Jersey,Salem County,0.4896529614490663,0.5103470385509337,0.3580187545082953,0.3762122305041276,0.06381341668670354,0.07113889556784483,0.0016991263925623147,0.0014586839785204777,0.004215756992866875,0.005482087040153883,1.7632443696401377e-4,1.6029494269455797e-4,0.05204776789292298,0.04553979321952392
